presentationDate,presentationSessionsN,presentationLanguage,presentationKind,playName,playGenre,playNationality,companyName,companyNationality,presentationTheater
"1929-01-01 00:00:00",1,Italiano,COMPLETE,"Cavalleria rusticana (Ã³pera)",Ãpera,Italiana,"Grande Companhia LÃ­rica Italiana do Centro Musical",Italiana,Municipal
"1929-01-01 00:00:00",1,Italiano,COMPLETE,PalhaÃ§os,Ãpera,Italiana,"Grande Companhia LÃ­rica Italiana do Centro Musical",Italiana,Municipal
"1929-01-01 00:00:00",3,Português,SESSIONS,"Com fogo nÃ£o se brinca","Teatro declamado",NULL,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1929-01-01 00:00:00",1,Italiano,COMPLETE,Boccaccio,Opereta,Austríca,SiddivÃ³,Ãtalo-sul-americana,"Cassino Antártica"
"1929-01-01 00:00:00",2,Português,STAGE_SCREEN,"Ano novo",Revista,NULL,Tro-lo-lÃ³,"Brasileira ",Colombo
"1929-01-01 00:00:00",1,Português,STAGE_SCREEN,"Viva o Brás",Revista,NULL,Tro-lo-lÃ³,"Brasileira ",Colombo
"1929-01-02 00:00:00",1,Italiano,STAGE_SCREEN,Primarosa,Opereta,Italiana,"Italiana de Operetas Romano",Italiana,CapitÃ³lio
"1929-01-02 00:00:00",1,Italiano,COMPLETE,"Casa das tres meninas, A",Opereta,Austríca,SiddivÃ³,Ãtalo-sul-americana,"Cassino Antártica"
"1929-01-02 00:00:00",1,Português,COMPLETE,"Stá na hora",Revista,"Brasileira ",Tro-lo-lÃ³,"Brasileira ",Colombo
"1930-01-01 00:00:00",3,Português,SESSIONS,Malandrinha,Revista,"Brasileira ","Alda Garrido","Brasileira ","Boa Vista"
"1930-01-01 00:00:00",1,Italiano,COMPLETE,"Mosqueteiros no convento, Os",Opereta,Francesa,Candini-SiddivÃ³,Ãtalo-sul-americana,"Santa Helena"
"1930-01-01 00:00:00",3,Português,SESSIONS,"Lua de mel (revista)",Revista,Portuguesa,"Eva Stacchino",Portuguesa,Santana
"1930-01-01 00:00:00",2,Português,SESSIONS,"Guerra ao mosquito",Revista,"Brasileira ","Marques Porto-Luiz Peixoto","Brasileira ","Cassino Antártica"
"1930-01-01 00:00:00",2,Português,SESSIONS,"Eu sou de circo!","Teatro declamado",AlemÃ£,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1930-01-01 00:00:00",1,Português,STAGE_SCREEN,"Bom que dÃ³i",Revista,"Brasileira ",Arruda,"Brasileira ","SÃ£o Carlos"
"1930-01-02 00:00:00",1,Português,STAGE_SCREEN,"Aguenta, Malhadas",Burleta,"Brasileira ",Arruda,"Brasileira ","SÃ£o Carlos"
"1930-01-02 00:00:00",2,Português,SESSIONS,Malandrinha,Revista,"Brasileira ","Alda Garrido","Brasileira ","Boa Vista"
"1930-01-02 00:00:00",1,Italiano,COMPLETE,"Acqua cheta",Opereta,Italiana,Candini-SiddivÃ³,Ãtalo-sul-americana,"Santa Helena"
"1930-01-02 00:00:00",2,Português,SESSIONS,"Lua de mel (revista)",Revista,Portuguesa,"Eva Stacchino",Portuguesa,Santana
"1931-01-01 00:00:00",3,Português,STAGE_SCREEN,"Comigo nÃ£o, violÃ£o",Revuette,"Brasileira ","Pinto Filho","Brasileira ","Santa Helena"
